Title:,"Time Series, Area-Averaged of Carbon Dioxide, Mole Fraction in Free Troposphere monthly 2 x 2.5 (monthly)"
User Start Date:,2002-09-01T00:00:00Z
User End Date:,2012-02-29T23:59:59Z
User Bounding Box:,"-175.7812,-84.2432,174.375,86.6162"
Data Bounding Box:,"-175,-60,172.5,86"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-09-01T00:00:00Z&endtime=2012-02-29T23:59:59Z&bbox=-175.7812,-84.2432,174.375,86.6162&data=AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere):, -9999

time, mean_AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere
2002-09-01 00:00:00,371.533863
2002-10-01 00:00:00,371.651204
2002-11-01 00:00:00,371.868637
2002-12-01 00:00:00,372.151099
2003-01-01 00:00:00,373.222473
2003-02-01 00:00:00,374.235178
2003-03-01 00:00:00,374.807666
2003-04-01 00:00:00,375.391009
2003-05-01 00:00:00,375.790063
2003-06-01 00:00:00,375.492236
2003-07-01 00:00:00,375.239937
2003-08-01 00:00:00,375.317365
2003-09-01 00:00:00,375.290439
2003-10-01 00:00:00,375.209578
2003-11-01 00:00:00,374.38542
2003-12-01 00:00:00,374.303665
2004-01-01 00:00:00,375.026996
2004-02-01 00:00:00,375.569577
2004-03-01 00:00:00,376.478264
2004-04-01 00:00:00,376.819507
2004-05-01 00:00:00,376.975884
2004-06-01 00:00:00,376.62402
2004-07-01 00:00:00,376.187192
2004-08-01 00:00:00,375.910081
2004-09-01 00:00:00,376.156034
2004-10-01 00:00:00,376.272965
2004-11-01 00:00:00,376.489781
2004-12-01 00:00:00,376.749484
2005-01-01 00:00:00,377.092117
2005-02-01 00:00:00,377.609727
2005-03-01 00:00:00,378.129807
2005-04-01 00:00:00,379.189236
2005-05-01 00:00:00,379.230673
2005-06-01 00:00:00,379.032751
2005-07-01 00:00:00,378.663378
2005-08-01 00:00:00,378.667982
2005-09-01 00:00:00,378.859341
2005-10-01 00:00:00,378.829508
2005-11-01 00:00:00,379.079118
2005-12-01 00:00:00,378.989336
2006-01-01 00:00:00,379.48525
2006-02-01 00:00:00,380.384047
2006-03-01 00:00:00,381.206686
2006-04-01 00:00:00,381.54252
2006-05-01 00:00:00,381.57367
2006-06-01 00:00:00,381.209472
2006-07-01 00:00:00,380.879902
2006-08-01 00:00:00,380.748956
2006-09-01 00:00:00,380.857218
2006-10-01 00:00:00,380.761957
2006-11-01 00:00:00,380.893881
2006-12-01 00:00:00,380.928106
2007-01-01 00:00:00,381.457323
2007-02-01 00:00:00,381.999221
2007-03-01 00:00:00,382.748614
2007-04-01 00:00:00,383.322707
2007-05-01 00:00:00,383.425319
2007-06-01 00:00:00,383.262682
2007-07-01 00:00:00,383.061253
2007-08-01 00:00:00,383.067706
2007-09-01 00:00:00,383.110898
2007-10-01 00:00:00,383.131283
2007-11-01 00:00:00,383.358871
2007-12-01 00:00:00,383.289639
2008-01-01 00:00:00,383.577785
2008-02-01 00:00:00,384.308717
2008-03-01 00:00:00,385.166856
2008-04-01 00:00:00,385.797203
2008-05-01 00:00:00,385.797529
2008-06-01 00:00:00,385.355921
2008-07-01 00:00:00,384.93943
2008-08-01 00:00:00,384.919116
2008-09-01 00:00:00,385.026875
2008-10-01 00:00:00,384.98989
2008-11-01 00:00:00,385.37312
2008-12-01 00:00:00,385.478357
2009-01-01 00:00:00,385.542057
2009-02-01 00:00:00,386.346892
2009-03-01 00:00:00,387.080431
2009-04-01 00:00:00,387.565338
2009-05-01 00:00:00,387.5432
2009-06-01 00:00:00,387.284277
2009-07-01 00:00:00,387.154994
2009-08-01 00:00:00,387.270165
2009-09-01 00:00:00,387.468131
2009-10-01 00:00:00,387.545176
2009-11-01 00:00:00,387.652856
2009-12-01 00:00:00,387.477279
2010-01-01 00:00:00,388.002572
2010-02-01 00:00:00,388.838165
2010-03-01 00:00:00,389.796654
2010-04-01 00:00:00,390.24849
2010-05-01 00:00:00,390.250353
2010-06-01 00:00:00,389.842524
2010-07-01 00:00:00,389.538347
2010-08-01 00:00:00,389.721123
2010-09-01 00:00:00,389.864026
2010-10-01 00:00:00,389.718773
2010-11-01 00:00:00,389.846781
2010-12-01 00:00:00,389.70985
2011-01-01 00:00:00,389.885841
2011-02-01 00:00:00,390.95244
2011-03-01 00:00:00,391.515092
2011-04-01 00:00:00,391.831814
2011-05-01 00:00:00,392.2105
2011-06-01 00:00:00,391.825654
2011-07-01 00:00:00,391.568757
2011-08-01 00:00:00,391.465497
2011-09-01 00:00:00,391.635807
2011-10-01 00:00:00,391.534465
2011-11-01 00:00:00,391.661376
2011-12-01 00:00:00,391.624074
2012-01-01 00:00:00,391.757975
2012-02-01 00:00:00,392.61119
