Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-01T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-01T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2002-08-31,260.444092
2002-09-01,260.473358
2002-09-02,260.538361
2002-09-03,260.516846
2002-09-04,260.343933
2002-09-05,260.233826
2002-09-06,260.110748
2002-09-07,260.070099
2002-09-08,260.011383
2002-09-09,259.999023
2002-09-10,259.880371
2002-09-11,260.074463
2002-09-12,259.613068
2002-09-13,260.167297
2002-09-14,260.116699
2002-09-15,260.245117
2002-09-16,260.282715
2002-09-17,260.453949
2002-09-18,260.345367
2002-09-19,260.331848
2002-09-20,260.160248
2002-09-21,259.969788
2002-09-22,259.850616
2002-09-23,259.704041
2002-09-24,259.653351
2002-09-25,259.568909
2002-09-26,259.426208
2002-09-27,259.181366
2002-09-28,259.113434
2002-09-29,259.07251
2002-09-30,259.096619
2002-10-01,259.139862
2002-10-02,259.136963
2002-10-03,259.200867
2002-10-04,259.144196
2002-10-05,259.089783
2002-10-06,259.186279
2002-10-07,259.251434
2002-10-08,259.232483
2002-10-09,259.277313
2002-10-10,259.188538
2002-10-11,259.289642
2002-10-12,259.252686
2002-10-13,259.190002
2002-10-14,259.137238
2002-10-15,259.047485
2002-10-16,259.132812
2002-10-17,257.904785
2002-10-18,258.85141
2002-10-19,258.268921
2002-10-22,258.898285
2002-10-23,258.435852
2002-10-24,258.454346
2002-10-25,258.249847
2002-10-26,258.182495
2002-10-27,258.257019
2002-10-28,258.261719
2002-10-29,258.184967
2002-10-30,258.188477
2002-10-31,258.171173
2002-11-01,258.153748
2002-11-02,258.150421
2002-11-03,258.152344
2002-11-04,258.046387
2002-11-05,258.135651
2002-11-06,258.245636
2002-11-07,258.270721
2002-11-08,258.309937
2002-11-09,258.239075
2002-11-10,258.308472
2002-11-11,258.341614
2002-11-12,258.160919
2002-11-13,258.350098
2002-11-14,258.341248
2002-11-15,258.325897
2002-11-16,258.321472
2002-11-17,258.325104
2002-11-18,258.294403
2002-11-19,258.385315
2002-11-20,258.186218
2002-11-21,257.984009
2002-11-22,258.180328
2002-11-23,258.156616
2002-11-24,258.260162
2002-11-25,258.154144
2002-11-26,258.408295
2002-11-27,258.32959
2002-11-28,258.295288
2002-11-29,258.426819
2002-11-30,258.359711
2002-12-01,258.239075
2002-12-02,258.255188
2002-12-03,258.381958
2002-12-04,258.271759
2002-12-05,258.178009
2002-12-06,258.122192
2002-12-07,257.876312
2002-12-08,257.837738
2002-12-09,257.945282
2002-12-10,258.065918
2002-12-11,258.064941
2002-12-12,258.008942
2002-12-13,257.86087
2002-12-14,257.782623
2002-12-15,257.730499
2002-12-16,257.616669
2002-12-17,257.621979
2002-12-18,257.617065
2002-12-19,257.632446
2002-12-20,257.649475
2002-12-21,257.647278
2002-12-22,257.701447
2002-12-23,257.660614
2002-12-24,257.536346
2002-12-25,257.504669
2002-12-26,257.614685
2002-12-27,257.716614
2002-12-28,257.881744
2002-12-29,257.874084
2002-12-30,258.035706
2002-12-31,258.054413
2003-01-01,258.017395
2003-01-02,258.001526
2003-01-03,257.466064
2003-01-04,258.130615
2003-01-05,258.11322
2003-01-06,258.177826
2003-01-07,258.254578
2003-01-08,258.146667
2003-01-09,258.073273
2003-01-10,257.844727
2003-01-11,257.939972
2003-01-12,257.829773
2003-01-13,257.8703
2003-01-14,257.849609
2003-01-15,257.804138
2003-01-16,257.887268
2003-01-17,257.741394
2003-01-18,257.68634
2003-01-19,257.606476
2003-01-20,257.676453
2003-01-21,257.710754
2003-01-22,257.729126
2003-01-23,257.829437
2003-01-24,257.940369
2003-01-25,258.082306
2003-01-26,257.955963
2003-01-27,257.969604
2003-01-28,257.977692
2003-01-29,257.990509
2003-01-30,257.441864
2003-01-31,258.046143
2003-02-01,258.062408
2003-02-02,258.004425
2003-02-03,257.99588
2003-02-04,258.014404
2003-02-05,258.058563
2003-02-06,257.971313
2003-02-07,257.947174
2003-02-08,258.01828
2003-02-09,257.959839
2003-02-10,257.793701
2003-02-11,257.670807
2003-02-12,257.282806
2003-02-13,257.628967
2003-02-14,257.77655
2003-02-15,257.765411
2003-02-16,257.728302
2003-02-17,257.912628
2003-02-18,257.923645
2003-02-19,257.893951
2003-02-20,257.885193
2003-02-21,258.047211
2003-02-22,258.151825
2003-02-23,257.982819
2003-02-24,257.976624
2003-02-25,257.868042
2003-02-26,257.74472
2003-02-27,257.755066
2003-02-28,257.743561
2003-03-01,257.763275
2003-03-02,257.878204
2003-03-03,258.063263
2003-03-04,257.975311
2003-03-05,258.004425
2003-03-06,258.071075
2003-03-07,258.062531
2003-03-08,258.059418
2003-03-09,258.127197
