Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-31T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-31T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500%3Aunits%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2002-08-31,-12.7059078
2002-09-01,-12.6766415
2002-09-02,-12.611639
2002-09-03,-12.6331539
2002-09-04,-12.8060665
2002-09-05,-12.9161739
2002-09-06,-13.0392513
2002-09-07,-13.0799007
2002-09-08,-13.1386166
2002-09-09,-13.1509762
2002-09-10,-13.2696285
2002-09-11,-13.0755367
2002-09-12,-13.536932
2002-09-13,-12.9827023
2002-09-14,-13.0333004
2002-09-15,-12.9048824
2002-09-16,-12.8672848
2002-09-17,-12.6960506
2002-09-18,-12.8046322
2002-09-19,-12.8181515
2002-09-20,-12.9897518
2002-09-21,-13.180212
2002-09-22,-13.2993832
2002-09-23,-13.4459591
2002-09-24,-13.4966488
2002-09-25,-13.5810909
2002-09-26,-13.7237911
2002-09-27,-13.9686337
2002-09-28,-14.0365658
2002-09-29,-14.0774899
2002-09-30,-14.053381
2002-10-01,-14.0101376
2002-10-02,-14.0130367
2002-10-03,-13.9491329
2002-10-04,-14.0058041
2002-10-05,-14.0602169
2002-10-06,-13.9637203
2002-10-07,-13.8985653
2002-10-08,-13.9175167
2002-10-09,-13.8726864
2002-10-10,-13.961462
2002-10-11,-13.8603573
2002-10-12,-13.8973141
2002-10-13,-13.9599972
2002-10-14,-14.0127621
2002-10-15,-14.1025143
2002-10-16,-14.0171871
2002-10-17,-15.2452145
2002-10-18,-14.2985897
2002-10-19,-14.8810787
2002-10-22,-14.2517147
2002-10-23,-14.7141476
2002-10-24,-14.6956539
2002-10-25,-14.9001522
2002-10-26,-14.9675045
2002-10-27,-14.8929806
2002-10-28,-14.8882809
2002-10-29,-14.9650326
