Title:,"Time Series, Area-Averaged of Ozone, Mole Fraction in Air (Daytime/Ascending) monthly (monthly)"
User Start Date:,2002-09-01T00:00:00Z
User End Date:,2016-10-31T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-09-01T00:00:00Z&endtime=2016-10-31T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STM_006_O3_VMR_A(z%3D1000)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_O3_VMR_A):, -9999

time, mean_AIRX3STM_006_O3_VMR_A
2002-09-01 00:00:00,31.3270531
2002-10-01 00:00:00,29.5936928
2002-11-01 00:00:00,27.2630024
2002-12-01 00:00:00,25.1437283
2003-01-01 00:00:00,24.1899815
2003-02-01 00:00:00,25.3372955
2003-03-01 00:00:00,27.5351696
2003-04-01 00:00:00,29.2335472
2003-05-01 00:00:00,29.8521919
2003-06-01 00:00:00,28.8343067
2003-07-01 00:00:00,28.8876133
2003-08-01 00:00:00,29.5390987
2003-09-01 00:00:00,31.2883511
2003-10-01 00:00:00,29.5882015
2003-11-01 00:00:00,27.2707005
2003-12-01 00:00:00,25.2677212
2004-01-01 00:00:00,24.2541275
2004-02-01 00:00:00,25.4080925
2004-03-01 00:00:00,27.6362991
2004-04-01 00:00:00,29.4384766
2004-05-01 00:00:00,30.0984859
2004-06-01 00:00:00,29.096817
2004-07-01 00:00:00,29.109375
2004-08-01 00:00:00,29.7544098
2004-09-01 00:00:00,31.4941025
2004-10-01 00:00:00,29.7626686
2004-11-01 00:00:00,27.378727
2004-12-01 00:00:00,25.353138
2005-01-01 00:00:00,24.4320507
2005-02-01 00:00:00,25.5884609
2005-03-01 00:00:00,27.733614
2005-04-01 00:00:00,29.474762
2005-05-01 00:00:00,30.1613636
2005-06-01 00:00:00,29.0828457
2005-07-01 00:00:00,29.1299973
2005-08-01 00:00:00,29.7882004
2005-09-01 00:00:00,31.599968
2005-10-01 00:00:00,29.8676853
2005-11-01 00:00:00,27.3700466
2005-12-01 00:00:00,25.3270836
2006-01-01 00:00:00,24.2827091
2006-02-01 00:00:00,25.4577732
2006-03-01 00:00:00,27.6718292
2006-04-01 00:00:00,29.4391613
2006-05-01 00:00:00,30.1666908
2006-06-01 00:00:00,29.1321907
2006-07-01 00:00:00,29.1432762
2006-08-01 00:00:00,29.8031673
2006-09-01 00:00:00,31.5628853
2006-10-01 00:00:00,29.8211632
2006-11-01 00:00:00,27.3795242
2006-12-01 00:00:00,25.2899723
2007-01-01 00:00:00,24.282671
2007-02-01 00:00:00,25.4411144
2007-03-01 00:00:00,27.7191944
2007-04-01 00:00:00,29.5226192
