Title:,"Time Series, Area-Averaged of Volumetric Soil Moisture from 6.9 GHZ daily 25 (daily)"
User Start Date:,2012-07-03T00:00:00Z
User End Date:,2023-12-22T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,"-179.875,-89.875,179.875,89.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2012-07-03T00:00:00Z&endtime=2023-12-22T23:59:59Z&data=LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1&portal=GIOVANNI&format=json"
Fill Value (mean_LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1):, -32767

time, mean_LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1
2012-07-03,59.9857766
2012-07-04,61.680071
2012-07-05,59.9477992
2012-07-06,61.4828078
2012-07-07,60.5441794
2012-07-08,60.9323413
2012-07-09,61.0309192
2012-07-10,60.9530642
2012-07-11,61.5675082
2012-07-12,62.2134836
2012-07-13,61.6965249
2012-07-14,60.7402958
2012-07-15,61.6141743
2012-07-16,61.1633373
2012-07-17,62.8912243
2012-07-18,62.37708
2012-07-19,60.9842982
2012-07-20,62.1310175
2012-07-21,61.1057399
2012-07-22,62.1531781
2012-07-23,61.1226987
2012-07-24,61.7985754
2012-07-25,61.612719
2012-07-26,39.8819106
2012-07-27,61.6428649
2012-07-28,61.1532499
2012-07-29,62.0627987
2012-07-30,60.9174927
2012-07-31,61.9545868
2012-08-01,61.5525807
2012-08-02,61.1786213
2012-08-03,61.5555775
2012-08-04,61.2672669
2012-08-05,63.3119621
2012-08-06,61.3399912
2012-08-07,62.2550625
2012-08-08,61.3120811
2012-08-09,61.2824553
2012-08-10,61.3773456
2012-08-11,60.9205773
2012-08-12,61.5612211
2012-08-13,60.8702779
2012-08-14,62.14821
2012-08-15,61.0290632
2012-08-16,61.3511027
2012-08-17,61.0412969
2012-08-18,60.666863
2012-08-19,61.2309444
2012-08-20,60.6540548
2012-08-21,62.6055152
2012-08-22,60.7730406
2012-08-23,40.5976705
2012-08-24,60.6949598
2012-08-25,61.1826929
2012-08-26,61.1629576
2012-08-27,60.713364
2012-08-28,61.5207558
2012-08-29,61.5151053
2012-08-30,61.6071405
2012-08-31,60.7329902
2012-09-01,61.6690572
2012-09-02,61.3128022
2012-09-03,61.293325
2012-09-04,61.5288424
2012-09-05,60.6691455
2012-09-06,61.7669172
2012-09-07,60.5848272
2012-09-08,61.4087954
2012-09-09,60.5993522
2012-09-10,61.3770739
2012-09-11,61.2759621
2012-09-12,60.4343755
2012-09-13,61.0822748
2012-09-14,41.2397678
2012-09-15,61.0649889
2012-09-16,60.154064
2012-09-17,60.4566872
2012-09-18,60.3301731
2012-09-19,60.0561057
2012-09-20,60.415593
2012-09-21,59.8195039
2012-09-22,61.8766368
2012-09-23,60.1212726
2012-09-24,60.5412058
2012-09-25,59.649201
2012-09-26,60.1723008
2012-09-27,60.3446258
2012-09-28,59.5872887
2012-09-29,60.1886406
2012-09-30,59.4813166
2012-10-01,60.2296271
2012-10-02,59.2172461
2012-10-03,59.4920731
2012-10-04,58.6450641
2012-10-05,58.8218075
2012-10-06,58.5833337
2012-10-07,58.2435919
2012-10-08,59.7299258
2012-10-09,58.2819615
2012-10-10,58.6192293
2012-10-11,56.8920374
2012-10-12,57.7971577
2012-10-13,57.481394
2012-10-14,57.0939107
2012-10-15,57.5655648
2012-10-16,57.2992093
2012-10-17,57.7867199
2012-10-18,56.4776442
2012-10-19,56.9189526
2012-10-20,56.0613612
2012-10-21,56.2135444
2012-10-22,56.9795404
2012-10-23,55.8730896
2012-10-24,58.3362544
2012-10-25,55.1936319
2012-10-26,55.5130962
2012-10-27,54.7044666
2012-10-28,55.3271961
2012-10-29,55.4345912
2012-10-30,54.8805817
2012-10-31,55.1934834
2012-11-01,54.0194826
2012-11-02,54.968137
2012-11-03,53.8338001
2012-11-04,55.7866236
2012-11-05,54.2872047
2012-11-06,54.3950195
2012-11-07,53.809293
2012-11-08,53.5166794
2012-11-09,56.0192856
2012-11-10,53.0311962
2012-11-11,54.6486281
2012-11-12,52.8716002
2012-11-13,53.835297
2012-11-14,53.7301332
2012-11-15,53.1533974
2012-11-16,53.6149906
2012-11-17,52.6776921
2012-11-18,53.7887686
2012-11-19,52.9964711
2012-11-20,54.5550896
2012-11-21,53.4199876
2012-11-22,53.4724315
2012-11-23,53.1435538
2012-11-24,52.9883499
2012-11-25,53.8829676
2012-11-26,52.2071189
2012-11-27,53.9901216
2012-11-28,52.3897565
2012-11-29,52.465515
2012-11-30,51.8236402
2012-12-01,52.1651002
2012-12-02,53.5528276
2012-12-03,54.2148486
2012-12-04,53.0185093
2012-12-05,51.1393833
2012-12-06,52.2553832
2012-12-07,51.1951685
2012-12-08,51.5115986
2012-12-09,50.5587713
2012-12-10,50.91581
2012-12-11,51.5780215
2012-12-12,50.2469542
2012-12-13,51.6251884
2012-12-14,50.8607302
2012-12-15,51.9776011
2012-12-16,50.998388
2012-12-17,51.5400716
2012-12-18,51.6655839
2012-12-19,52.3307956
2012-12-20,51.7253367
2012-12-21,50.3010073
2012-12-22,51.2534605
2012-12-23,50.4313099
2012-12-24,50.9736017
2012-12-25,50.6363472
2012-12-26,50.4158672
2012-12-27,51.9317794
2012-12-28,50.1924392
2012-12-29,31.6105541
2012-12-30,49.9358534
